LEI,Date,Total_Capital,CET1_Capital,Tier1_Capital,RWA_Total,Net_Income,Leverage_Exposure,Total_Assets,Loans_Gross,Provisions_Stock,NPL_Amount,NPL_Ratio,RWA_Final,CVA_Charge,RWA_CVA_Addon,AT1_Capital,Tier2_Capital,CET1_Ratio_Pct,Tier1_Ratio_Pct,TCR_Pct,CAR_Pct,Leverage_Ratio_Pct,P2R_Pct,P2G_Pct,CBR_Pct,SREP_Requirement_Pct,Capital_Buffer_Pct,LTD_Ratio_Pct,LCR_Ratio_Pct,NSFR_Ratio_Pct,Texas_Ratio_Pct,NPL_Ratio_Pct,Risk_Exposure_Amount,MREL_Ratio_Pct,TLAC_Ratio_Pct,ROA_Pct,ROE_Pct
0W2PZJM8XOY22M4GG883,202506,7412.15807077,6102.37281472,6700.97281472,28965.35749421,356.6465908,89166.9825425,96079.97843525,97926.63771142,734.03222612,0.0,0.0,29025.75642406567,4.831914388453457,60.398929855668214,598.6000000000004,711.1852560500001,21.02399236583008,23.08629865426738,25.536485466488912,25.536485466488912,7.5150830763237835,2.0,1.0,2.5,12.5,13.036485466488912,169.8700036265698,249.99999999999994,45.167897874999255,0.0,0.0,29025.75642406567,75.18892709360291,75.18892709360291,0.37119761745195484,5.3223106653493035
2138008AVF4W7FMW8W87,202506,1576.22869764694,1300.55674726789,1300.55674726789,5426.02273299826,60.3022215221029,21823.6360402634,19594.3948884513,17939.161155459275,749.2680744314257,164.737804076006,0.009183138645581136,5440.805382638369,1.1826119712087277,14.782649640109096,0.0,275.67195037905003,23.903754238627457,23.903754238627457,28.970503203012772,28.970503203012772,5.959395331137463,2.0,1.0,2.5,12.5,16.470503203012772,152.58752360547422,250.0,48.54049428811382,8.0366771995393,0.9183138645581136,5440.805382638369,82.9911679128104,82.9911679128104,0.3077524050392814,4.63664670140547
2138009Y59EAR7H1UO97,202506,588.79346155,528.79346155,528.79346155,2608.02961657,39.36484762,5157.38500136,5032.17057082,7649.43335482,148.00625338999998,0.0,0.0,2611.523068137539,0.27947612540311884,3.4934515675389854,0.0,60.0,20.24846986808812,20.24846986808812,22.545979728599907,22.545979728599907,10.253131410793596,2.0,1.0,2.5,12.5,10.045979728599907,253.35102242548172,250.0,36.66142797722467,0.0,0.0,2611.523068137539,51.449633494190394,51.449633494190394,0.7822637779463314,7.444276543173155
213800DBQIB6VBNU5C64,202506,6638.34121321,4920.87370008999,5620.87370008999,30604.47889941,514.866328,74581.06916304,72269.488872,93868.895154,1354.11977,272.113426,0.002898866824346601,30654.997786967873,4.041511004629669,50.51888755787086,700.0,1017.4675131200102,16.05243534606277,18.33591292079476,21.655004705406007,21.655004705406007,7.536595765075886,2.0,1.0,2.5,12.5,9.155004705406007,216.47885024770676,249.99999999999994,39.39144512767171,4.3364734528735305,0.2898866824346601,30654.997786967873,57.017666957525,57.017666957525,0.7124255837922207,9.159898540181697
213800HDJ876ACJXXD05,202506,1203.39840081,1149.06242268,1149.06242268,6868.04857957,54.64831626,10446.10603716,9795.48457334,13828.18107566,278.34488519,0.0,0.0,6875.124445634017,0.5660692851213842,7.075866064017302,0.0,54.33597813000006,16.713332707885765,16.713332707885765,17.50365990210122,17.50365990210122,10.999911532512048,2.0,1.0,2.5,12.5,5.003659902101219,235.28155536234928,250.0,38.99278483131995,0.0,0.0,6875.124445634017,38.87523939305981,38.87523939305981,0.5578929337373902,4.755904917031552
213800TC9PZRBHMJW403,202506,255.05019111,214.33523446,214.33523446,1261.3884398,-4.20484166,4990.25201984,5118.91713805,6669.51916285,13.57798097,0.57122374,8.564691487533058e-05,1264.768680704359,0.27041927234871943,3.3802409043589927,0.0,40.714956649999976,16.946595668437578,16.946595668437578,20.16575797623014,20.16575797623014,4.295078356921784,2.0,1.0,2.5,12.5,7.6657579762301395,217.15267060664206,249.99999999999994,36.69255820239482,0.25063212719906647,0.008564691487533058,1264.768680704359,80.87548161359011,80.87548161359011,-0.08214318666626808,-1.9618060794314816
213800X3Q9LSAKRUWY91,202506,23640.611297,18138.085284,21002.085141,124314.856915678,1334.656314,380048.211007336,356505.446981,507731.692555,4604.091055,0.0,0.0,124572.28970732218,20.594623331534972,257.43279164418715,2863.999856999999,2638.526156,14.560288910651586,16.8593554717053,18.977423753342503,18.977423753342503,5.526163400515152,2.0,1.0,2.5,12.5,6.477423753342503,237.36509350915082,249.99999999999994,35.44519696863787,0.0,0.0,124572.28970732218,61.90496178992302,61.90496178992302,0.3743719276387748,6.354875266144414
222100K6QL2V4MLHWQ08,202506,3850.36266173,3171.28689187,3251.2466422,21160.42036063,435.89235369,47074.0768533,44528.16089267,59274.00830576,1488.10263552,0.0,0.0,21192.30687046594,2.550920786875455,31.886509835943187,79.95975033000013,599.1160195299999,14.96433074159366,15.34163629317301,18.168681141060432,18.168681141060432,6.906660437191517,2.0,1.0,2.5,12.5,5.668681141060432,221.8596318879086,250.0,38.39879739181087,0.0,0.0,21192.30687046594,49.68589243252588,49.68589243252588,0.9789138939303339,13.40692976141138
254900RNFMDM0P11YR84,202506,4006.05989791,2920.53859377,3327.50977063,13313.4275952,123.89508678,46230.3070183,47507.80604836,74027.3484638,816.3497695599999,0.0,0.0,13344.742561695288,2.505197319623031,31.314966495287887,406.97117686,678.5501272800002,21.885312363785165,24.934986607994034,30.019761560698694,30.019761560698694,7.1976804508627295,2.0,1.0,2.5,12.5,17.519761560698694,259.70240339185784,250.0,34.219255514837165,0.0,0.0,13344.742561695288,83.42034890292994,83.42034890292994,0.26078890415163036,3.7233575652744917
2G5BKIC2CB69PRJH1W31,202506,8281.17156044455,6154.92617381309,7224.92617381309,35126.1613810315,,129713.568315143,,,,,0.0,35214.02530207717,7.029113683653503,87.86392104566879,1070.0,1056.2453866314609,17.478621432835823,20.517183456975914,23.516685438276404,23.516685438276404,5.569907811232142,2.0,1.0,2.5,12.5,11.016685438276404,,,,0.0,,35214.02530207717,,,,
