LEI,Date,Total_Capital,CET1_Capital,Tier1_Capital,RWA_Total,Net_Income,Leverage_Exposure,Total_Assets,Loans_Gross,Provisions_Stock,NPL_Amount
0W2PZJM8XOY22M4GG883,202506,7412.15807077,6102.37281472,6700.97281472,28965.35749421,356.6465908,89166.9825425,96079.97843525,97926.63771142,734.03222612,0.0
2138008AVF4W7FMW8W87,202506,1576.22869764694,1300.55674726789,1300.55674726789,5426.02273299826,60.3022215221029,21823.6360402634,19594.3948884513,17939.161155459275,749.2680744314257,164.737804076006
2138009Y59EAR7H1UO97,202506,588.79346155,528.79346155,528.79346155,2608.02961657,39.36484762,5157.38500136,5032.17057082,7649.43335482,148.00625338999998,0.0
213800DBQIB6VBNU5C64,202506,6638.34121321,4920.87370008999,5620.87370008999,30604.47889941,514.866328,74581.06916304,72269.488872,93868.895154,1354.11977,272.113426
213800HDJ876ACJXXD05,202506,1203.39840081,1149.06242268,1149.06242268,6868.04857957,54.64831626,10446.10603716,9795.48457334,13828.18107566,278.34488519,0.0
213800TC9PZRBHMJW403,202506,255.05019111,214.33523446,214.33523446,1261.3884398,-4.20484166,4990.25201984,5118.91713805,6669.51916285,13.577980969999999,0.57122374
213800X3Q9LSAKRUWY91,202506,23640.611297,18138.085284,21002.085141,124314.856915678,1334.656314,380048.211007336,356505.446981,507731.692555,4604.091055,0.0
222100K6QL2V4MLHWQ08,202506,3850.36266173,3171.28689187,3251.2466422,21160.42036063,435.89235369,47074.0768533,44528.16089267,59274.00830576,1488.10263552,0.0
254900RNFMDM0P11YR84,202506,4006.05989791,2920.53859377,3327.50977063,13313.4275952,123.89508678,46230.3070183,47507.80604836,74027.3484638,816.3497695599999,0.0
2G5BKIC2CB69PRJH1W31,202506,8281.17156044455,6154.92617381309,7224.92617381309,35126.1613810315,,129713.568315143,,,,
2W8N8UU78PMDQKZENC08,202506,57226.973307,40017.995909,47685.556563,308507.602135,5233.741745,823750.705871,770518.393645,955061.409512,13345.731671000001,0.0
391200EEGLNXBBCVKC73,202506,4143.00278617,3949.53047051,3949.53047051,16081.46435709,113.85598997,46505.06938902,46912.89190614,62800.15999404,564.4942024300001,0.0
3H0Q3U74FVFED2SHZT16,202506,2770.0871774137,2388.71880555777,2388.71880555777,13021.148034012,145.440267236118,33146.9153838819,31704.6307068284,36839.39923662079,1311.359728176586,0.0
